ARISHTAS & ASAVAS,,,,,,,
,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,Loose Unit,Loose Basic Price,Loose MRP
Sukumara Leham*,FGL140,200g,171.4,180,1 g,0.86,0.9
Svasahara Leham,FGL107,200g,138.35,155,1 g,0.7,0.78
Talisapatradi Leham*,FGL117,200g,90.45,95,1 g,0.46,0.48
Talisapatradi Vatakarn*,FGL149,100g,80.95,85,,,
Trivril Leham*,FGL155,50g,33.3,35,,,
Trivril Leham*,FGL118,200g,114.25,120,1 g,0.58,0.6
Valiya Chinchadi Leham*,FGL112,200g,160.7,180,1 g,0.81,0.9
Valiya Madhusnuhi Rasayanam*,FGL130,200g,133.3,140,1 g,0.67,0.7
Vanasuranadi Leham,FGL141,200g,89.25,100,1 g,0.45,0.5
Vasishta Rasayanam*,FGL134,200g,95.2,100,1 g,0.48,0.5
Vidaryadi Leham,FGL135,500g,281.25,315,1 g,0.57,0.63
Vilwadi Leham*,FGL136,200g,119,125,1 g,0.6,0.63
Vyaghrryadi Leham*,FGL137,200g,138.05,145,1 g,0.7,0.73
Vyoshadi Vatakam*,FGL143,100g,80.95,85,-,-,-
,,,,,,,
TAILAM,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,Loose Unit,Basic Price,MRP
Adithyapaka Tailam*,FG0010,200ml,119,125,1ml,0.6,0.63
Adithyapaka Tailam*,FG0194,50gm,49.1,55,,,
Agnivirana Tailam,FG0159,200gm,156.25,175,1 g,0.79,0.88
Amritadi Tailam*,FG0002,200ml,133.3,140,1 ml,0.67,0.7
Anu Tailam*,FG0001,10ml,85.7,90,-,-,-
Aranyatulsyadi Kera Tailam,FG0012,200ml,133.9,150,1 ml,0.67,0.75
Arimedadi Tailam,FG0004,200ml,152.35,160,1 ml,0.77,0.8
Arukuladi Tailam*,FG0011,200ml,138.05,145,1 ml,0.7,0.73
Asanailadi Kera Tailam,FG0147,200ml,174.1,195,1 ml,0.88,0.98
Asanadi Tailam*,FG0009,200ml,183,205,1 ml,0.92,1.03
Asanamanjishthadi Tailam,FG0008,200ml,156.25,175,1 ml,0.79,0.88
Asanavilwadi Keratailam*,FG0146,200ml,138.05,145,1 ml,0.7,0.73
Asanavaladi Tailam*,FG0007,200ml,142.85,150,1 ml,0.72,0.75
Aswagandhadi Yamakam,FG0006,200ml,160.7,180,1 ml,0.81,0.9
Ayyappala Kera Tailam,FG0166,200ml,156.25,175,1 ml,0.79,0.88
Ayyappala Kera Tailam,FG0205,500ml,379.45,425,,,
Bala Tailam*,FG0164,10ml,61.9,65,,,
Baladhathryadi Tailam*,FG0093,200ml,247.6,260,1 ml,1.24,1.3
Balaguluchyadi Kera Tailam*,FG0151,200ml,133.3,140,1 ml,0.67,0.7
Balaguluchyadi Tailam*,FG0091,200ml,142.85,150,1 ml,0.72,0.75
BalaHatadi Tailam*,FG0096,200ml,142.85,150,1 ml,0.72,0.75
Balathathadi keratatailam*,FG0187,200ml,157.1,165,1 ml,0.79,0.83
Balasodhini Tailam,FG0178,50ml,49.1,55,1 ml,-,-
Balaswagandhadi kuzhampu*,FG0094,200ml,195.2,205,1 ml,0.98,1.03
Balaswagandhadi Tailam*,FG0095,200ml,200,210,1 ml,1,1.05
Brahmhee Tailam,FG0098,200ml,129.45,145,1 ml,0.65,0.73
Chemparuthyadi Kera Tailam,FG0041,200ml,133.9,150,1 ml,0.67,0.75
Chemparuthyadi Kera Tailam,FG0203,500ml,325.85,365,,,
Cheriya Bhringamaladi Tailam*,FG0099,200ml,166.65,175,1 ml,0.84,0.88
Cheriya Chandanadi Tailam*,FG0037,200ml,147.6,155,1 ml,0.74,0.78
Cheriya Chinchadi Tailam*,FG0039,200ml,138.05,145,1 ml,0.7,0.73
Cheriya Lakshadi Tailam*,FG0114,200ml,161.9,170,1 ml,0.81,0.85
Cheriya Narayana Tailam*,FG0065,200ml,285.7,300,1 ml,1.43,1.5
Cheriya Prasarani Tailam*,FG0089,200ml,176.15,185,1 ml,0.89,0.93
Cheriya Sahacharadi Tailam*,FG0130,200ml,176.15,185,1 ml,0.89,0.93
Dhanvantaram Mezhukupakam,FG0177,200ml,238.05,250,1 ml,1.2,1.25
Dhanwantaram kuzhampu*,FG0054,200ml,171.4,180,1 ml,0.86,0.9
Dhanwantaram kuzhampu*,FG0173,500ml,395.2,415,,,
Dhanwantaram Tailam*,FG0055,200ml,200,210,1 ml,1,1.05
Dhanwantaram Tailam*,FG0172,500ml,461.9,485,-,-,-
